For iteration 0, [numCorrect,numFailed] : [10, 13] with parameters : [[4, 195, 3, 128, 0.5, 3.020408163265306e-05], [181.2637, 842.08]]
For iteration 1, [numCorrect,numFailed] : [10, 7] with parameters : [[4, 195, 2, 512, 0.38, 9.1228654727197e-06], [63.494, 498.39]]
For iteration 2, [numCorrect,numFailed] : [13, 5] with parameters : [[7, 190, 2, 512, 0.38, 9.1228654727197e-06], [56.8725, 471.68]]
For iteration 3, [numCorrect,numFailed] : [9, 7] with parameters : [[9, 180, 2, 512, 0.38, 9.1228654727197e-06], [56.6449, 470.74]]
For iteration 4, [numCorrect,numFailed] : [12, 7] with parameters : [[10, 195, 2, 512, 0.38, 9.1228654727197e-06], [55.8205, 467.3]]
For iteration 5, [numCorrect,numFailed] : [10, 7] with parameters : [[11, 190, 2, 512, 0.38, 9.1228654727197e-06], [51.1075, 447.14]]
For iteration 6, [numCorrect,numFailed] : [10, 7] with parameters : [[11, 190, 2, 512, 0.38, 9.1228654727197e-06], [51.1075, 447.14]]
For iteration 7, [numCorrect,numFailed] : [10, 7] with parameters : [[13, 185, 2, 512, 0.38, 9.1228654727197e-06], [51.0488, 446.88]]
For iteration 8, [numCorrect,numFailed] : [10, 7] with parameters : [[16, 190, 2, 512, 0.38, 9.1228654727197e-06], [46.7793, 427.79]]
For iteration 9, [numCorrect,numFailed] : [10, 7] with parameters : [[16, 190, 2, 512, 0.38, 9.1228654727197e-06], [46.7793, 427.79]]
For iteration 10, [numCorrect,numFailed] : [10, 7] with parameters : [[16, 190, 2, 512, 0.38, 9.1228654727197e-06], [46.7793, 427.79]]
For iteration 11, [numCorrect,numFailed] : [9, 8] with parameters : [[19, 195, 3, 768, 0.63, 9.1228654727197e-07], [45.4357, 421.6]]
For iteration 12, [numCorrect,numFailed] : [12, 7] with parameters : [[22, 185, 3, 768, 0.63, 9.1228654727197e-07], [44.2293, 415.96]]
For iteration 13, [numCorrect,numFailed] : [12, 7] with parameters : [[22, 185, 3, 768, 0.63, 9.1228654727197e-07], [44.2293, 415.96]]
For iteration 14, [numCorrect,numFailed] : [12, 7] with parameters : [[22, 185, 3, 768, 0.63, 9.1228654727197e-07], [44.2293, 415.96]]
For iteration 15, [numCorrect,numFailed] : [12, 7] with parameters : [[22, 185, 3, 768, 0.63, 9.1228654727197e-07], [44.2293, 415.96]]
For iteration 16, [numCorrect,numFailed] : [8, 7] with parameters : [[20, 175, 3, 768, 0.63, 9.1228654727197e-07], [44.1739, 415.7]]
For iteration 17, [numCorrect,numFailed] : [8, 7] with parameters : [[20, 175, 3, 768, 0.63, 9.1228654727197e-07], [44.1739, 415.7]]
For iteration 18, [numCorrect,numFailed] : [10, 7] with parameters : [[20, 175, 2, 1280, 0.76, 2.755477734617379e-07], [44.0272, 415.01]]
For iteration 19, [numCorrect,numFailed] : [10, 7] with parameters : [[20, 175, 2, 1280, 0.76, 2.755477734617379e-07], [44.0272, 415.01]]
For iteration 20, [numCorrect,numFailed] : [9, 7] with parameters : [[22, 185, 3, 1536, 0.64, 2.7554777346173792e-08], [43.0676, 410.46]]
For iteration 21, [numCorrect,numFailed] : [9, 7] with parameters : [[22, 185, 3, 1536, 0.64, 2.7554777346173792e-08], [43.0676, 410.46]]
For iteration 22, [numCorrect,numFailed] : [9, 7] with parameters : [[22, 185, 3, 1536, 0.64, 2.7554777346173792e-08], [43.0676, 410.46]]
For iteration 23, [numCorrect,numFailed] : [9, 7] with parameters : [[22, 185, 3, 1536, 0.64, 2.7554777346173792e-08], [43.0676, 410.46]]
